feature,base_weight,recommended_weight,change,direction,sample_count,correlation,spread_5d,signal_strength
v8_score,20.0,20.0,0.0,bekliyor,0,,,0.0
smart_money_score,18.0,18.0,0.0,bekliyor,0,,,0.0
institutional_score,16.0,16.0,0.0,bekliyor,0,,,0.0
historical_support_score,12.0,12.0,0.0,bekliyor,0,,,0.0
prediction_score,10.0,10.0,0.0,bekliyor,0,,,0.0
live_confirmation_score,8.0,8.0,0.0,bekliyor,0,,,0.0
relationship_score,6.0,6.0,0.0,bekliyor,0,,,0.0
rsi,4.0,4.0,0.0,bekliyor,0,,,0.0
volume_ratio,4.0,4.0,0.0,bekliyor,0,,,0.0
ema20_distance,2.0,2.0,0.0,bekliyor,0,,,0.0
